iter	Passed	Remaining
417	2620	9917
418	2627	9915
419	2633	9905
420	2640	9902
421	2648	9902
422	2652	9890
423	2656	9874
424	2662	9868
425	2668	9858
426	2676	9860
427	2681	9849
428	2687	9841
429	2694	9837
430	2699	9827
431	2703	9811
432	2708	9802
433	2717	9804
434	2725	9804
435	2730	9795
436	2736	9788
437	2741	9777
438	2750	9778
439	2756	9771
440	2762	9765
441	2767	9755
442	2774	9753
443	2779	9741
444	2786	9735
445	2790	9721
446	2794	9707
447	2803	9711
448	2807	9698
449	2812	9686
450	2817	9676
451	2824	9671
452	2828	9657
453	2836	9659
454	2842	9651
455	2849	9648
456	2854	9637
457	2859	9626
458	2862	9611
459	2868	9603
460	2872	9589
461	2877	9578
462	2883	9573
463	2889	9566
464	2895	9558
465	2902	9553
466	2907	9545
467	2913	9537
468	2922	9539
469	2929	9537
470	2934	9525
471	2938	9511
472	2942	9499
473	2948	9490
474	2953	9482
475	2958	9472
476	2966	9471
477	2973	9467
478	2978	9456
479	2983	9446
480	2986	9432
481	2990	9417
482	2996	9411
483	3000	9397
484	3006	9391
485	3013	9388
486	3018	9376
487	3024	9370
488	3028	9359
489	3033	9347
490	3038	9337
491	3044	9330
492	3050	9323
493	3054	9313
494	3060	9303
495	3066	9299
496	3072	9291
497	3079	9287
498	3085	9280
499	3091	9273
500	3096	9265
501	3099	9250
502	3103	9237
503	3110	9233
504	3116	9224
505	3123	9222
506	3127	9208
507	3131	9198
508	3135	9185
509	3139	9171
510	3144	9162
511	3148	9149
512	3152	9138
513	3159	9132
514	3162	9118
515	3166	9106
516	3169	9092
517	3177	9090
518	3187	9094
519	3194	9092
520	3201	9088
521	3207	9081
522	3212	9071
523	3218	9064
524	3222	9052
525	3229	9051
526	3234	9039
527	3241	9036
528	3247	9030
529	3254	9026
530	3260	9019
531	3265	9012
532	3270	9000
533	3274	8988
534	3278	8977
535	3288	8980
536	3291	8968
537	3297	8961
538	3304	8955
539	3309	8948
540	3314	8938
541	3318	8927
542	3322	8914
543	3325	8901
544	3329	8888
545	3333	8875
546	3341	8874
547	3345	8864
548	3353	8864
549	3357	8851
550	3363	8844
551	3369	8840
552	3375	8832
553	3379	8821
554	3386	8816
555	3391	8808
556	3399	8807
557	3406	8802
558	3412	8796
559	3419	8793
560	3423	8782
561	3431	8780
562	3436	8771
563	3445	8771
564	3450	8763
565	3453	8750
566	3461	8747
567	3465	8737
568	3469	8726
569	3473	8713
570	3480	8709
571	3495	8727
572	3506	8733
573	3516	8735
574	3529	8745
575	3536	8742
576	3545	8744
577	3553	8741
578	3560	8738
579	3568	8736
580	3572	8724
581	3579	8720
582	3586	8715
583	3590	8705
584	3596	8698
585	3599	8685
586	3605	8678
587	3614	8678
588	3617	8666
589	3624	8662
590	3629	8653
591	3633	8642
592	3640	8637
593	3644	8626
594	3647	8613
