iter	RMSE
0	21.80979272
1	21.41259816
2	21.03865676
3	20.69236773
4	20.37084662
5	20.0680577
6	19.77484166
7	19.48779215
8	19.23383886
9	19.01180203
10	18.79339526
11	18.58939666
12	18.38955925
13	18.23164568
14	18.0705283
15	17.89666541
16	17.74244521
17	17.62285295
18	17.50554884
19	17.40043182
20	17.25818304
21	17.0440114
22	16.94966022
23	16.85362701
24	16.74305674
25	16.64430879
26	16.56355392
27	16.48264661
28	16.41020196
29	16.25941543
30	16.17409097
31	16.01060468
32	15.95677886
33	15.90409872
34	15.80264729
35	15.76212438
36	15.71625213
37	15.60157083
38	15.4935099
39	15.45080721
40	15.30966483
41	15.2732907
42	15.19274253
43	15.06601026
44	15.00055272
45	14.97817708
46	14.88126356
47	14.82144733
48	14.73010668
49	14.66978054
50	14.61277358
51	14.55105184
52	14.49788095
53	14.4378475
54	14.39951882
55	14.32414518
56	14.24226978
57	14.19333308
58	14.14902771
59	14.08967273
60	14.04550632
61	14.02919986
62	13.99018118
63	13.94086739
64	13.9030788
65	13.84844652
66	13.79957502
67	13.75558585
68	13.72452598
69	13.6686499
70	13.61956965
71	13.5781951
72	13.57173615
73	13.5601204
74	13.5128858
75	13.47634655
76	13.41489748
77	13.39476508
78	13.3655678
79	13.30946148
80	13.25229932
81	13.21772987
82	13.18988027
83	13.14997017
84	13.12506309
85	13.11738628
86	13.0845614
87	13.05321423
88	13.01719964
89	12.98756461
90	12.97169327
91	12.95453801
92	12.91317498
93	12.88625671
94	12.86107049
95	12.80188367
96	12.77680095
97	12.71638586
98	12.66377133
99	12.62805294
100	12.57851827
101	12.55230471
102	12.53680012
103	12.51512566
104	12.50674822
105	12.47646401
106	12.4458531
107	12.4381739
108	12.42218143
109	12.39381469
110	12.36747984
111	12.34818306
112	12.31844362
113	12.27994837
114	12.24465565
115	12.22050895
116	12.19934794
117	12.17806443
118	12.16519038
119	12.15394553
120	12.14519052
121	12.12938382
122	12.11476464
123	12.10662357
124	12.06109763
125	12.03477407
126	12.01536415
127	11.98686913
128	11.96676421
129	11.95057768
130	11.92310961
131	11.91161466
132	11.90045782
133	11.88178934
134	11.80008671
135	11.79711695
136	11.7772535
137	11.76100404
138	11.74249759
139	11.7291064
140	11.70819654
141	11.69519482
142	11.66368919
143	11.63504724
144	11.6145119
145	11.59537897
146	11.58531127
147	11.54979735
148	11.5316051
149	11.51201722
150	11.49406256
151	11.45980254
152	11.44785644
153	11.43427118
154	11.4252675
155	11.41439853
156	11.40125981
157	11.37666448
158	11.36221466
159	11.33327599
160	11.31258337
161	11.30387632
162	11.29874908
163	11.25982282
164	11.23830405
165	11.22165305
166	11.20700458
167	11.19836296
168	11.18416502
169	11.16963251
170	11.1534572
171	11.10672645
172	11.09548917
173	11.05936646
174	11.04218585
175	11.03169202
176	10.99839647
177	10.97020135
178	10.9665595
179	10.95918467
180	10.93221236
181	10.91888096
182	10.90405829
183	10.88667411
184	10.88036219
185	10.86164701
186	10.84166393
187	10.83277464
188	10.82432224
189	10.80019807
190	10.7866406
191	10.76105847
192	10.74805465
193	10.72312496
194	10.70449822
195	10.68923659
196	10.67891343
197	10.63966406
198	10.63096496
199	10.61831264
200	10.58870053
201	10.5767267
202	10.5705886
203	10.55915164
204	10.54387134
205	10.52535148
206	10.51251029
207	10.50534517
208	10.49541803
209	10.46978773
210	10.46563395
211	10.45708739
212	10.45091586
213	10.44026196
214	10.43072834
215	10.40947987
216	10.40299414
217	10.39284731
218	10.38159628
219	10.37524019
220	10.3616194
221	10.35085132
222	10.32619489
223	10.31945824
224	10.31114299
225	10.30012459
226	10.28812166
227	10.28216599
228	10.27655519
229	10.2701669
230	10.24648888
231	10.23239053
232	10.22538984
233	10.21475712
234	10.20028521
235	10.19340869
236	10.18100593
237	10.15811216
238	10.14996459
239	10.1445817
240	10.11831833
241	10.1091196
242	10.10229766
243	10.09700532
244	10.08801871
245	10.08226432
246	10.05702867
247	10.05297566
248	10.042914
249	10.03802246
250	10.01139436
251	10.004471
252	9.988654198
253	9.983759977
254	9.978329261
255	9.968347621
256	9.958802876
257	9.955127419
258	9.94986016
259	9.945470517
260	9.941557804
261	9.920085777
262	9.915102427
263	9.905301979
264	9.898300277
265	9.893855412
266	9.887890406
267	9.853109118
268	9.846893863
269	9.842678367
270	9.836689028
271	9.830779733
272	9.821752669
273	9.815842434
274	9.812503801
275	9.805177735
276	9.797608875
277	9.791081637
278	9.782878331
279	9.770976384
280	9.765812791
281	9.758701053
282	9.749915021
283	9.743064822
284	9.741313241
285	9.733099325
286	9.716832528
287	9.71397142
288	9.708901135
289	9.698378299
290	9.694804018
291	9.691665229
292	9.684261898
293	9.677143791
294	9.669930727
295	9.667020079
296	9.651951128
297	9.648660203
298	9.633116181
299	9.62988639
300	9.627257668
301	9.613919341
302	9.60729064
303	9.58151622
304	9.574593171
305	9.564286165
306	9.555316723
307	9.551601555
308	9.544918689
309	9.53485698
310	9.529402696
311	9.525950582
312	9.512783851
313	9.503308492
314	9.496687753
315	9.491333823
316	9.488220776
317	9.484570626
318	9.478965078
319	9.45255195
320	9.443894481
321	9.440712097
322	9.439017155
323	9.432473366
324	9.428503358
325	9.42341911
326	9.41420478
327	9.398841623
328	9.396040566
329	9.390307291
330	9.385418684
331	9.382644951
332	9.372974877
333	9.368346416
334	9.363641444
335	9.350362836
336	9.342121861
337	9.332361117
338	9.328140629
339	9.325279299
340	9.319470687
341	9.307082589
342	9.304130064
343	9.30214345
344	9.297988902
345	9.289564136
346	9.286993977
347	9.27592365
348	9.26735794
349	9.25925772
350	9.251310497
351	9.244460626
352	9.2381659
353	9.22700609
354	9.224016241
355	9.214739172
356	9.196453736
357	9.192979011
358	9.184787195
359	9.178270216
360	9.1737665
361	9.170361514
362	9.167248473
363	9.162273599
364	9.153157014
365	9.150319501
366	9.145372835
367	9.135957865
368	9.134014056
369	9.129408543
370	9.127506222
371	9.12649882
372	9.124087215
373	9.121243421
374	9.119152601
375	9.109238272
376	9.101678933
377	9.089880822
378	9.087811989
379	9.086298407
380	9.07771268
381	9.076083962
382	9.073569503
383	9.066467748
384	9.063815473
385	9.059919542
386	9.057221168
387	9.048962312
388	9.037212815
389	9.02066592
390	9.015452915
391	9.00915422
392	9.000437697
393	8.989135735
394	8.986643344
395	8.981644558
396	8.978350944
397	8.972209751
398	8.961742448
399	8.959308835
400	8.955857385
401	8.943388543
402	8.941965468
403	8.935039559
404	8.931850158
405	8.923698813
406	8.91216769
407	8.907473858
408	8.901093135
409	8.889749923
410	8.883899096
411	8.880562916
412	8.874545611
413	8.865786365
414	8.860946354
415	8.851205845
416	8.847405215
417	8.837239091
418	8.830854846
419	8.826503883
420	8.817271827
421	8.814165496
422	8.811230794
423	8.807840268
424	8.804844485
425	8.792817366
426	8.788463282
427	8.783871565
428	8.771896512
429	8.762282635
430	8.757746831
431	8.749296696
432	8.741563956
433	8.728188081
434	8.725119818
435	8.722386637
436	8.721298207
437	8.710503427
438	8.705741881
439	8.697043648
440	8.692014174
441	8.683680773
442	8.679172407
443	8.671565362
444	8.668254961
445	8.66322652
